Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2021,Volkswagen,Atlas 3.6L SEL Premium,Used,"$47,990",Dealer,IL,Mauro Brown,All-wheel Drive,16,22,Gasoline,8-Speed Automatic
2019,Toyota,4Runner Limited,Used,"$46,079",Dealer,WI,Redwood,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic
2018,Toyota,RAV4 XLE,Used,"$28,998",Dealer,IL,Black,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic
2019,Honda,Accord EX-L 1.5T,Used,"$20,900",Dealer,WI,Black,Front-wheel Drive,30,38,Gasoline,Automatic
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,"$53,967",Dealer,IL,Black,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2019,BMW,330 i,Used,"$39,597",Dealer,AL,Cognac,Rear-wheel Drive,26,36,Gasoline,8-Speed Automatic
2019,BMW,X3 M40i,Used,"$47,997",Dealer,AL,Black,All-wheel Drive,20,27,Gasoline,8-Speed Automatic
2021,Audi,Q3 45 S line Premium,Used,"$44,561",Dealer,AL,Okapi Brown,All-wheel Drive,20,28,Gasoline,7-Speed Automatic
2021,Audi,Q3 45 S line Premium,Used,"$44,591",Dealer,AL,Okapi Brown,All-wheel Drive,20,28,Gasoline,7-Speed Automatic
2021,Genesis,GV80 2.5T,Used,"$52,541",Dealer,GA,Black,Rear-wheel Drive,21,25,Gasoline,8-Speed Automatic
2018,Audi,S5 3.0T Prestige,Used,"$44,850",Dealer,MI,Magma Red,All-wheel Drive,21,30,Gasoline,8-Speed Automatic
2019,Honda,Pilot EX-L,Used,"$36,498",Dealer,OH,Beige,Front-wheel Drive,19,27,Gasoline,6-Speed Automatic
2019,Mercedes-Benz,GLC 300 Base 4MATIC,Used,"$37,500",Private,MI,Black,All-wheel Drive,22,27,Gasoline Fuel,9-Speed A/T
2020,Chevrolet,Spark LS,Used,"$13,989",Dealer,OH,Gray,Front-wheel Drive,30,38,Gasoline,Automatic CVT
2019,Hyundai,Elantra SE,Used,"$21,998",Dealer,OH,Black,Front-wheel Drive,29,38,Gasoline,6-Speed Automatic
2019,Hyundai,Elantra SE,Used,"$18,997",Dealer,OH,Gray,Front-wheel Drive,29,38,Gasoline,6-Speed Automatic
2015,Chevrolet,Suburban 1500 LT,Used,"$32,495",Dealer,OH,Gray,Four-wheel Drive,15,22,Gasoline,6-Speed Automatic
2012,Mercedes-Benz,S-Class S 550 4MATIC,Used,"$25,695",Dealer,OH,Ash / Grey,All-wheel Drive,15,24,Gasoline,7-Speed Automatic
2019,Jeep,Grand Cherokee Limited,Used,"$35,500",Dealer,NC,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic
2019,Mazda,CX-5 Grand Touring,Used,"$27,491",Dealer,FL,Parchment,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic
2010,BMW,128 128i,Used,"$8,999",Dealer,VA,Black,Rear-wheel Drive,18,28,Gasoline,Automatic
2016,Land,Rover Range Rover,Used,"$49,989",Dealer,VA,Ebony / Ebony,Four-wheel Drive,14,19,Gasoline,8-Speed Automatic
2004,Lexus,LS 430 Base (A6),Used,"$14,290",Dealer,VA,Saddle,Rear-wheel Drive,18,25,Gasoline,6-Speed Automatic
